id;from_date;to_date;semester_id;program_id
1;2020-09-20T04:00:15;2020-09-20T02:15:36;1;1
2;2020-09-19T10:52:40;2020-09-19T19:44:35;2;2
3;2020-09-19T12:47:43;2020-09-20T00:57:57;3;3
4;2020-09-20T00:36:32;2020-09-19T18:36:10;4;4
5;2020-09-19T17:08:30;2020-09-20T03:20:29;5;5
6;2020-09-19T20:24:19;2020-09-20T03:06:20;6;6
7;2020-09-19T11:12:15;2020-09-20T03:02:39;7;7
8;2020-09-19T17:19:21;2020-09-19T17:26:45;8;8
9;2020-09-19T13:21:45;2020-09-19T22:30:31;9;9
10;2020-09-19T17:52:06;2020-09-19T21:16:43;10;10
