id;institute_name;board;total_marks_grade;division_class_grade;passing_year;exam_type_id
1;Arkansas Awesome Rubber Gloves Investor;definition Shoal Virtual;quantify;Handmade Rubber Bike;22159;1
2;withdrawal;bypassing Electronics hack;Manager New Leu;Rustic convergence;53383;2
3;optical SDD;drive Chips;channels;connecting;82255;3
4;Extended RAM;Product silver Shoes;initiatives Zloty;SCSI mission-critical Incredible;73872;4
5;synergistic Grass-roots;Integration TCP disintermediate;white Computer;navigate Human Practical;80062;5
6;SMTP niches generating;Faroe Islands incentivize white;Quality-focused Global;optical Incredible Credit Card Account;71685;6
7;Louisiana circuit Home Loan Account;Engineer Expanded;SMTP Wooden Roads;Cambridgeshire Dalasi;38860;7
8;generating;HTTP;Direct;dedicated Michigan;59783;8
9;background Intelligent Wooden Tuna Steel;compress National;Ramp fresh-thinking Awesome;leading-edge Future Rubber;7698;9
10;1080p;Zambia Unbranded Yemen;core Small;Identity;9686;10
