id;application_serial;status;applied_on;application_fee_paid_on;selected_rejected_on
1;29931;CANCELLED;2020-09-20T07:58:18;2020-09-19T08:57:10;2020-09-19T13:59:46
2;47264;CANCELLED;2020-09-19T21:38:32;2020-09-20T03:40:44;2020-09-19T20:52:18
3;41962;APPLIED;2020-09-19T15:20:06;2020-09-20T06:32:17;2020-09-20T00:13:05
4;88503;CANCELLED;2020-09-19T14:15:06;2020-09-19T20:09:49;2020-09-20T05:05:07
5;80218;APPLIED;2020-09-20T03:45:30;2020-09-19T22:33:13;2020-09-19T17:40:14
6;4969;NOT_APPLIED;2020-09-19T22:25:09;2020-09-20T03:46:26;2020-09-20T00:11:25
7;11112;CANCELLED;2020-09-19T22:04:30;2020-09-20T01:16:35;2020-09-19T16:15:20
8;17775;CANCELLED;2020-09-20T04:38:29;2020-09-19T14:31:39;2020-09-19T22:26:00
9;93817;CANCELLED;2020-09-19T10:10:38;2020-09-20T06:05:37;2020-09-20T05:12:55
10;73473;EXPIRED;2020-09-19T21:32:53;2020-09-19T09:47:36;2020-09-19T13:27:21
